Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2015-11-27,99.09,100.0426,99.09,99.68,487017.0,0.0,1.0,95.20154249085199,96.116760871887,95.20154249085199,95.76838990299801,487017.0
2015-11-25,99.15,99.6,98.9,99.09,965920.0,0.0,1.0,95.259187990392,95.691529236944,95.018998408974,95.20154249085199,965920.0
2015-11-24,99.28,99.45,98.32,99.26,1336883.0,0.0,1.0,95.38408657272899,95.547415488094,94.461758580084,95.364871406216,1336883.0
2015-11-23,100.49,100.67,99.45,99.94,997447.0,0.0,1.0,96.546604146793,96.71954064541401,95.547415488094,96.018187067673,997447.0
2015-11-20,100.2,100.87,99.53,100.49,1326622.0,0.0,1.0,96.267984232348,96.911692310548,95.624276154147,96.546604146793,1326622.0
2015-11-19,99.87,100.26,99.22,99.63,1537907.0,0.0,1.0,95.950933984876,96.32562973188801,95.32644107318899,95.72035198671499,1537907.0
2015-11-18,98.62,99.82,98.32,99.66,1668010.0,0.0,1.0,94.749986077786,95.902896068592,94.461758580084,95.749174736485,1668010.0
2015-11-17,98.23,98.97,97.73,98.35,1380966.0,0.0,1.0,94.375290330774,95.086251491771,93.894911167938,94.490581329854,1380966.0
2015-11-16,96.47,98.05,96.0,98.05,1336586.0,0.0,1.0,92.684355677591,94.202353832153,92.232799264525,94.202353832153,1336586.0
2015-11-13,97.6,98.08,96.2,96.38,1623721.0,0.0,1.0,93.7700125856,94.23117658192301,92.424950929659,92.59788742828,1623721.0
2015-11-12,97.31,98.27,96.95,97.35,1682993.0,0.0,1.0,93.491392671155,94.413720663801,93.145519673913,93.52982300418199,1682993.0
2015-11-11,97.42,97.99,96.89,97.62,1111519.0,0.0,1.0,93.597076086979,94.144708332612,93.087874174373,93.78922775211399,1111519.0
2015-11-10,97.13,97.63,96.86,97.13,1753684.0,0.0,1.0,93.31845617253401,93.79883533536999,93.059051424603,93.31845617253401,1753684.0
2015-11-09,97.83,97.94,96.39,97.11,1839101.0,0.0,1.0,93.99098700050502,94.096670416329,92.607495011537,93.299241006021,1839101.0
2015-11-06,100.25,100.25,96.99,98.03,3114798.0,0.0,1.0,96.316022148631,96.316022148631,93.18395000694001,94.183138665639,3114798.0
2015-11-05,101.73,101.96,99.045,100.87,3137213.0,0.0,1.0,97.73794447062599,97.958918885531,95.158308366196,96.911692310548,3137213.0
2015-11-04,103.29,103.8,101.94,102.23,1732039.0,0.0,1.0,99.236727458675,99.72671420476699,97.93970371901699,98.218323633462,1732039.0
2015-11-03,103.89,103.98,103.05,103.28,2064564.0,0.0,1.0,99.813182454078,99.899650703388,99.006145460513,99.227119875418,2064564.0
2015-11-02,102.81,104.12,102.29,104.06,2757706.0,0.0,1.0,98.77556346235201,100.03415686898,98.275969133002,99.97651136944201,2757706.0
2015-10-30,102.11,102.62,101.42,102.23,3364280.0,0.0,1.0,98.10303263438101,98.59301938047399,97.44010938966801,98.218323633462,3364280.0
2015-10-29,99.86,102.135,98.61,101.96,2736029.0,0.0,1.0,95.941326401619,98.127051592523,94.740378494529,97.958918885531,2736029.0
2015-10-28,99.56,100.94,99.27,100.87,2922543.0,0.0,1.0,95.65309890391799,96.978945393345,95.374478989473,96.911692310548,2922543.0
2015-10-27,99.14,99.42,98.55,99.27,1107825.0,0.0,1.0,95.24958040713499,95.51859273832301,94.682732994989,95.374478989473,1107825.0
2015-10-26,99.17,99.67,98.67,99.53,1045008.0,0.0,1.0,95.278403156905,95.758782319741,94.798023994069,95.624276154147,1045008.0
2015-10-23,99.58,99.94,98.52,99.17,1545983.0,0.0,1.0,95.672314070431,96.018187067673,94.653910245219,95.278403156905,1545983.0
2015-10-22,96.32,99.6401,96.32,99.47,2415770.0,0.0,1.0,92.54024192874,95.730055645804,92.54024192874,95.566630654607,2415770.0
2015-10-21,97.0,97.17,95.92,96.06,1490951.0,0.0,1.0,93.19355759019699,93.35688650556101,92.155938598471,92.290444764065,1490951.0
2015-10-20,96.76,97.14,96.15,96.91,1808815.0,0.0,1.0,92.962975592036,93.32806375579099,92.37691301337601,93.107089340886,1808815.0
